reg1,reg2,em
lh.G_orbital.label,lh.G_pariet_inf-Angular.label,12.2933
lh.G_orbital.label,lh.G_pariet_inf-Supramar.label,7.9338
lh.G_orbital.label,lh.G_parietal_sup.label,3.6926
lh.G_orbital.label,lh.G_postcentral.label,4.0655
lh.G_orbital.label,lh.G_precentral.label,6.7061
lh.G_orbital.label,lh.G_precuneus.label,2.5575
lh.G_orbital.label,rh.G_orbital.label,2.2712
lh.G_orbital.label,rh.G_pariet_inf-Angular.label,2.6413
lh.G_orbital.label,rh.G_pariet_inf-Supramar.label,7.5015
lh.G_orbital.label,rh.G_parietal_sup.label,8.2307
lh.G_orbital.label,rh.G_postcentral.label,4.7801
lh.G_orbital.label,rh.G_precentral.label,8.2408
lh.G_orbital.label,rh.G_precuneus.label,8.978
lh.G_pariet_inf-Angular.label,lh.G_pariet_inf-Supramar.label,15.1204
lh.G_pariet_inf-Angular.label,lh.G_parietal_sup.label,16.3696
lh.G_pariet_inf-Angular.label,lh.G_postcentral.label,12.7205
lh.G_pariet_inf-Angular.label,lh.G_precentral.label,12.4878
lh.G_pariet_inf-Angular.label,lh.G_precuneus.label,15.4329
lh.G_pariet_inf-Angular.label,rh.G_orbital.label,13.4292
lh.G_pariet_inf-Angular.label,rh.G_pariet_inf-Angular.label,16.2931
lh.G_pariet_inf-Angular.label,rh.G_pariet_inf-Supramar.label,14.128
lh.G_pariet_inf-Angular.label,rh.G_parietal_sup.label,17.9554
lh.G_pariet_inf-Angular.label,rh.G_postcentral.label,12.8034
lh.G_pariet_inf-Angular.label,rh.G_precentral.label,11.3055
lh.G_pariet_inf-Angular.label,rh.G_precuneus.label,16.9746
lh.G_pariet_inf-Supramar.label,lh.G_parietal_sup.label,11.9518
lh.G_pariet_inf-Supramar.label,lh.G_postcentral.label,9.036
lh.G_pariet_inf-Supramar.label,lh.G_precentral.label,10.2967
lh.G_pariet_inf-Supramar.label,lh.G_precuneus.label,9.8814
lh.G_pariet_inf-Supramar.label,rh.G_orbital.label,8.711
lh.G_pariet_inf-Supramar.label,rh.G_pariet_inf-Angular.label,9.9107
lh.G_pariet_inf-Supramar.label,rh.G_pariet_inf-Supramar.label,12.0059
lh.G_pariet_inf-Supramar.label,rh.G_parietal_sup.label,14.6812
lh.G_pariet_inf-Supramar.label,rh.G_postcentral.label,9.299
lh.G_pariet_inf-Supramar.label,rh.G_precentral.label,9.6682
lh.G_pariet_inf-Supramar.label,rh.G_precuneus.label,13.7951
lh.G_parietal_sup.label,lh.G_postcentral.label,6.1593
lh.G_parietal_sup.label,lh.G_precentral.label,9.7382
lh.G_parietal_sup.label,lh.G_precuneus.label,4.4584
lh.G_parietal_sup.label,rh.G_orbital.label,3.6423
lh.G_parietal_sup.label,rh.G_pariet_inf-Angular.label,16.9604
lh.G_parietal_sup.label,rh.G_pariet_inf-Supramar.label,12.3478
lh.G_parietal_sup.label,rh.G_parietal_sup.label,24.4929
lh.G_parietal_sup.label,rh.G_postcentral.label,6.7011
lh.G_parietal_sup.label,rh.G_precentral.label,9.1186
lh.G_parietal_sup.label,rh.G_precuneus.label,23.3126
lh.G_postcentral.label,lh.G_precentral.label,6.9574
lh.G_postcentral.label,lh.G_precuneus.label,4.8252
lh.G_postcentral.label,rh.G_orbital.label,4.5282
lh.G_postcentral.label,rh.G_pariet_inf-Angular.label,5.1389
lh.G_postcentral.label,rh.G_pariet_inf-Supramar.label,8.4915
lh.G_postcentral.label,rh.G_parietal_sup.label,12.0256
lh.G_postcentral.label,rh.G_postcentral.label,7.9532
lh.G_postcentral.label,rh.G_precentral.label,9.7064
lh.G_postcentral.label,rh.G_precuneus.label,9.949
lh.G_precentral.label,lh.G_precuneus.label,8.5951
lh.G_precentral.label,rh.G_orbital.label,7.0323
lh.G_precentral.label,rh.G_pariet_inf-Angular.label,7.7318
lh.G_precentral.label,rh.G_pariet_inf-Supramar.label,9.1707
lh.G_precentral.label,rh.G_parietal_sup.label,10.1145
lh.G_precentral.label,rh.G_postcentral.label,7.7853
lh.G_precentral.label,rh.G_precentral.label,13.3164
lh.G_precentral.label,rh.G_precuneus.label,11.6989
lh.G_precuneus.label,rh.G_orbital.label,1.3382
lh.G_precuneus.label,rh.G_pariet_inf-Angular.label,1.6264
lh.G_precuneus.label,rh.G_pariet_inf-Supramar.label,8.9343
lh.G_precuneus.label,rh.G_parietal_sup.label,20.6174
lh.G_precuneus.label,rh.G_postcentral.label,6.8532
lh.G_precuneus.label,rh.G_precentral.label,8.8966
lh.G_precuneus.label,rh.G_precuneus.label,17.3228
rh.G_orbital.label,rh.G_pariet_inf-Angular.label,1.9147
rh.G_orbital.label,rh.G_pariet_inf-Supramar.label,8.0618
rh.G_orbital.label,rh.G_parietal_sup.label,9.302
rh.G_orbital.label,rh.G_postcentral.label,5.2105
rh.G_orbital.label,rh.G_precentral.label,8.4438
rh.G_orbital.label,rh.G_precuneus.label,9.8516
rh.G_pariet_inf-Angular.label,rh.G_pariet_inf-Supramar.label,10.465
rh.G_pariet_inf-Angular.label,rh.G_parietal_sup.label,12.6164
rh.G_pariet_inf-Angular.label,rh.G_postcentral.label,7.4739
rh.G_pariet_inf-Angular.label,rh.G_precentral.label,9.8701
rh.G_pariet_inf-Angular.label,rh.G_precuneus.label,12.709
rh.G_pariet_inf-Supramar.label,rh.G_parietal_sup.label,11.667
rh.G_pariet_inf-Supramar.label,rh.G_postcentral.label,8.7939
rh.G_pariet_inf-Supramar.label,rh.G_precentral.label,9.3367
rh.G_pariet_inf-Supramar.label,rh.G_precuneus.label,11.7081
rh.G_parietal_sup.label,rh.G_postcentral.label,10.0648
rh.G_parietal_sup.label,rh.G_precentral.label,10.742
rh.G_parietal_sup.label,rh.G_precuneus.label,14.7006
rh.G_postcentral.label,rh.G_precentral.label,8.8548
rh.G_postcentral.label,rh.G_precuneus.label,10.1625
rh.G_precentral.label,rh.G_precuneus.label,10.9868
